Question,Answer
1,2
2,1
3,
4,1
5,2
6,2
7,1
8,
9,2
10,2
11,1
12,1
13,
14,1
15,1
16,1
17,1
18,
19,2
20,2
21,1
22,
23,1
24,2
25,2
26,1
27,1
28,
29,2
30,1
31,1
32,1
33,
34,1
35,2
36,1
37,1
38,
39,1
40,1
41,2
42,1
43,
44,2
45,1
46,1
47,
48,1
49,1
50,1
51,1
52,1
53,
54,1
55,1
56,1
57,1
58,
59,1
60,1
61,1
62,1
63,
64,1
65,1
66,1
67,1
68,
69,1
70,1
71,1
72,
73,1
74,1
75,1
76,1
77,1
78,
79,1
80,1
81,1
82,1
83,
84,1
85,1
86,1
87,1
88,
89,1
90,1
91,1
92,1
93,
94,1
95,1
96,1
97,
98,1
99,1
100,1
